,PM10_1
1586,38.0
1587,39.0
1588,36.0
1589,36.0
1590,37.0
1591,39.0
1592,37.0
1593,36.0
1594,38.0
1595,40.0
1596,41.0
1597,46.0
1598,39.0
1599,42.0
1600,33.0
1601,34.0
1602,43.0
1603,59.0
1604,62.0
1605,54.0
1606,48.0
1607,40.0
1608,31.0
1609,34.0
1610,34.0
1611,37.0
1612,34.0
1613,43.0
1614,48.0
1615,49.0
1616,49.0
1617,55.0
1618,60.0
1619,62.0
1620,64.0
1621,54.0
1622,56.0
1623,53.0
1624,46.0
1625,49.0
1626,54.0
1627,58.0
1628,45.0
1629,31.0
1630,33.0
1631,38.0
1632,33.0
1633,30.0
1634,29.0
1635,30.0
1636,28.0
1637,32.0
1638,29.0
1639,32.0
1640,30.0
1641,30.0
1642,33.0
1643,33.0
1644,36.0
1645,38.0
1646,37.0
1647,39.0
1648,36.0
1649,40.0
1650,45.0
1651,52.0
1652,54.0
1653,56.0
1654,52.0
1655,53.0
1656,50.0
1657,46.0
1658,36.0
1659,43.0
1660,47.0
1661,45.0
1662,42.0
1663,47.0
1664,42.0
1665,31.0
1666,31.0
1667,31.0
1668,33.0
1669,37.0
1670,37.0
1671,37.0
1672,40.0
1673,39.0
1674,33.0
1675,29.0
1676,28.0
1677,27.0
1678,23.0
1679,23.0
1680,22.0
1681,20.0
1682,21.0
1683,21.0
1684,21.0
1685,20.0
1686,18.0
1687,17.0
1688,19.0
1689,23.0
1690,26.0
1691,30.0
1692,31.0
1693,32.0
1694,31.0
1695,35.0
1696,38.0
1697,46.0
1698,42.0
1699,40.0
1700,38.0
1701,40.0
1702,38.0
1703,41.0
1704,34.0
1705,35.0
1706,34.0
1707,37.0
1708,37.0
1709,40.0
1710,37.0
1711,41.0
1712,43.0
1713,48.0
1714,59.0
1715,75.0
1716,84.0
1717,89.0
1718,94.0
1719,98.0
1720,91.0
1721,90.0
1722,89.0
1723,91.0
1724,87.0
1725,85.0
1726,80.0
1727,70.0
1728,67.0
1729,70.0
1730,74.0
1731,73.0
1732,59.0
1733,54.0
1734,58.0
1735,61.0
1736,61.0
1737,60.0
1738,60.0
1739,60.0
1740,58.0
1741,52.0
1742,36.0
1743,19.0
1744,14.0
1745,17.0
1746,14.0
1747,12.0
1748,11.0
1749,10.0
1750,11.0
1751,14.0
1752,10.0
1753,12.0
1754,14.0
1755,15.0
1756,16.0
1757,17.0
1758,17.0
1759,19.0
1760,17.0
1761,18.0
1762,21.0
1763,19.0
1764,21.0
1765,21.0
1766,18.0
1767,21.0
1768,22.0
1769,23.0
1770,23.0
1771,24.0
1772,24.0
1773,23.0
1774,22.0
1775,26.0
1776,24.0
1777,26.0
1778,24.0
1779,23.0
1780,26.0
1781,27.0
1782,26.0
1783,28.0
1784,26.0
1785,30.0
1786,33.0
1787,39.0
1788,44.0
1789,40.0
1790,38.0
1791,41.0
1792,35.0
1793,35.0
1794,36.0
1795,38.0
1796,35.0
1797,37.0
1798,39.0
1799,41.0
1800,39.0
1801,38.0
1802,39.0
1803,39.0
1804,38.0
1805,43.0
1806,36.0
1807,28.0
1808,32.0
1809,39.0
1810,42.0
1811,48.0
1812,66.0
1813,95.0
1814,102.0
1815,112.0
1816,123.0
1817,132.0
1818,135.0
1819,139.0
1820,143.0
1821,138.0
1822,132.0
1823,119.0
1824,107.0
1825,100.0
1826,94.0
1827,90.0
1828,88.0
1829,88.0
1830,89.0
1831,102.0
1832,103.0
1833,105.0
1834,108.0
1835,118.0
1836,118.0
1837,108.0
1838,78.0
1839,70.0
1840,72.0
1841,62.0
1842,56.0
1843,75.0
1844,79.0
1845,87.0
1846,89.0
1847,102.0
1848,106.0
1849,96.0
1850,76.0
1851,63.0
1852,60.0
1853,56.0
1854,53.0
1855,48.0
1856,44.0
1857,38.0
1858,28.0
1859,29.0
1860,30.0
1861,34.0
1862,20.0
1863,18.0
1864,17.0
1865,26.0
1866,26.0
1867,18.0
1868,16.0
1869,16.0
1870,14.0
1871,13.0
1872,15.0
1873,16.0
1874,18.0
1875,16.0
1876,17.0
1877,16.0
1878,18.0
1879,18.0
1880,18.0
1881,20.0
1882,24.0
1883,27.0
1884,28.0
1885,31.0
1886,29.0
1887,26.0
1888,29.0
1889,20.0
1890,19.0
1891,22.0
1892,25.0
1893,27.0
1894,26.0
1895,27.0
1896,26.0
1897,25.0
1898,23.0
1899,30.0
1900,29.0
1901,31.0
1902,37.0
1903,38.0
1904,40.0
1905,40.0
1906,40.0
1907,34.0
1908,25.0
1909,31.0
1910,29.0
1911,35.0
1912,32.0
1913,32.0
1914,26.0
1915,29.0
1916,31.0
1917,38.0
1918,34.0
1919,36.0
1920,34.0
1921,36.0
1922,31.0
1923,32.0
1924,30.0
1925,31.0
1926,32.0
1927,33.0
1928,34.0
1929,39.0
1930,45.0
1931,52.0
1932,60.0
1933,71.0
1934,77.0
1935,76.0
1936,74.0
1937,73.0
1938,73.0
1939,68.0
1940,73.0
1941,76.0
1942,76.0
1943,74.0
1944,69.0
1945,70.0
1946,66.0
1947,67.0
1948,65.0
1949,66.0
1950,64.0
1951,71.0
1952,67.0
1953,75.0
1954,85.0
1955,87.0
1956,88.0
1957,88.0
1958,94.0
1959,89.0
1960,77.0
1961,62.0
1962,56.0
1963,37.0
1964,26.0
1965,28.0
1966,25.0
1967,26.0
1968,22.0
1969,23.0
1970,21.0
1971,22.0
1972,20.0
1973,21.0
1974,20.0
1975,26.0
