               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   9,            0.013401,           0.0085522,            0.012891,             0.71194,             0.95306,             0.77232,             0.70738,           0.0091671,           0.0052435,            0.014051,           0.0019906,           0.0019906,           0.0019906
                   0,            0.064455,             0.03286,            0.058973,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068091,            0.003146,            0.003146
                   1,            0.044759,             0.02049,            0.047682,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.038699,           0.0056801,           0.0056801
                   2,             0.04426,            0.015989,             0.02686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086818,           0.0075892,           0.0075892
                   3,             0.03694,             0.01392,            0.018912,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067289,           0.0067289,           0.0067289
                   4,             0.03221,            0.012743,            0.017167,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067289,           0.0067289,           0.0067289
                   5,             0.02704,            0.011692,            0.015965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057818,           0.0057818,           0.0057818
                   6,            0.023269,            0.010837,            0.014844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048348,           0.0048348,           0.0048348
                   7,            0.019724,            0.010023,            0.014062,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038878,           0.0038878,           0.0038878
                   8,            0.016515,           0.0094183,            0.013293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029407,           0.0029407,           0.0029407
                   9,            0.013654,           0.0087034,            0.012521,             0.70421,             0.96629,             0.76867,             0.70018,           0.0095832,           0.0053842,            0.013659,           0.0019937,           0.0019937,           0.0019937
                   0,            0.072728,            0.033208,            0.059423,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.064885,           0.0027802,           0.0027802
                   1,             0.04757,            0.022178,            0.051587,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040127,           0.0050197,           0.0050197
                   2,            0.046329,            0.016579,            0.036107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.014817,           0.0067071,           0.0067071
                   3,            0.041989,            0.014135,            0.022438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064693,           0.0064693,           0.0064693
                   4,             0.03656,            0.012516,            0.018741,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064693,           0.0064693,           0.0064693
                   5,            0.029958,            0.011264,            0.016799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005559,            0.005559,            0.005559
                   6,            0.025142,            0.010223,            0.015601,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046488,           0.0046488,           0.0046488
                   7,            0.021248,           0.0094228,             0.01533,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037385,           0.0037385,           0.0037385
                   8,            0.017746,           0.0089054,            0.014277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028283,           0.0028283,           0.0028283
                   9,            0.014588,           0.0082734,            0.013815,             0.68573,             0.94261,             0.73672,             0.68512,           0.0093244,           0.0050377,            0.015402,            0.001918,            0.001918,            0.001918
                   0,            0.066359,            0.034035,            0.048142,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071428,           0.0036731,           0.0036731
                   1,            0.045375,            0.020328,            0.041366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.042792,           0.0066316,           0.0066316
                   2,            0.041585,            0.015899,             0.03109,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.013425,           0.0088602,           0.0088602
                   3,            0.035624,            0.013979,            0.019826,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081412,           0.0081412,           0.0081412
                   4,            0.030336,            0.012794,            0.015169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081412,           0.0081412,           0.0081412
                   5,            0.024274,            0.011542,            0.013813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069949,           0.0069949,           0.0069949
                   6,            0.020449,            0.010646,            0.012719,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058486,           0.0058486,           0.0058486
                   7,            0.017452,           0.0099481,            0.012208,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047023,           0.0047023,           0.0047023
                   8,            0.014453,           0.0091549,             0.01146,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003556,            0.003556,            0.003556
                   9,            0.011796,           0.0085147,            0.011124,             0.70427,             0.96295,             0.75925,             0.71156,           0.0077127,           0.0049083,            0.011943,           0.0024098,           0.0024098,           0.0024098
                   0,            0.064545,            0.028718,            0.084171,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.08394,           0.0030691,           0.0030691
                   1,            0.047376,            0.017568,            0.044304,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.052051,            0.005541,            0.005541
                   0,            0.013197,           0.0098586,            0.010824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068357,           0.0035668,           0.0035668
